team-year,W.rank,L.rank,Finish.rank,Age.rank,Ht.rank,Wt.rank,G.rank,MP.rank,FG.rank,FGA.rank,FG%.rank,3P.rank,3PA.rank,3P%.rank,2P.rank,2PA.rank,2P%.rank,FT.rank,FTA.rank,FT%.rank,ORB.rank,DRB.rank,TRB.rank,AST.rank,STL.rank,BLK.rank,TOV.rank,PF.rank,PTS.rank
ORL-1993,41,41,4,21,8,1,82,6,22,26,9,6,8,6,22,26,5,8,3,23,21,2,9,21,27,9,25,16,12
ORL-1992,21,61,7,18,12,3,82,27,23,16,25,16,15,15,22,15,25,11,8,16,13,22,20,23,21,22,24,23,21
ORL-1991,31,51,4,22,13,5,82,20,18,9,23,5,6,4,26,14,23,9,8,20,7,13,9,26,24,26,21,20,14
ORL-1990,18,64,7,15,15,16,82,14,10,4,24,21,22,20,6,3,22,3,3,15,4,8,4,18,22,26,21,20,5
PHI-2019,6,5,3,24,1,16,11,3,14,7,24,10,7,22,16,16,21,1,1,12,8,2,2,3,17,7,28,30,5
PHI-2018,52,30,3,20,1,8,82,16,5,13,8,12,12,10,11,17,7,11,10,23,3,1,1,2,7,9,30,29,7
PHI-2017,28,54,4,29,6,14,82,10,27,16,27,10,7,25,23,24,19,24,24,18,17,19,23,8,3,7,30,28,25
PHI-2016,10,72,5,30,24,26,82,19,28,20,29,9,8,24,29,23,25,28,19,28,24,26,30,20,10,3,29,25,29
PHI-2015,18,64,4,30,1,23,82,20,30,22,30,11,6,29,30,27,30,22,9,30,5,26,19,24,1,4,30,26,29
PHI-2014,19,63,5,30,1,28,82,10,16,2,29,19,13,30,7,6,21,22,14,29,10,19,15,15,1,25,30,25,19
PHI-2013,34,48,4,24,8,28,82,24,14,7,22,21,25,13,7,5,23,30,29,25,18,15,20,11,18,20,2,5,30
PHI-2012,35,31,3,26,27,26,66,23,9,5,15,24,25,8,4,3,25,30,30,21,22,6,7,10,14,13,1,4,22
PHI-2011,41,41,3,26,25,19,82,4,11,10,15,23,24,15,4,5,18,26,26,10,20,10,13,6,10,23,1,6,18
PHI-2010,27,55,4,22,22,21,82,15,17,15,16,21,21,22,10,12,15,27,27,16,11,26,21,17,5,8,18,14,22
PHI-2009,41,41,2,18,26,12,82,24,18,20,10,29,29,30,6,7,14,6,6,25,2,29,17,24,4,12,15,6,22
PHI-2008,40,42,3,25,25,22,82,22,13,17,11,30,29,30,3,2,15,19,10,30,2,28,14,23,4,12,12,7,23
PHI-2007,35,47,3,16,19,25,82,8,20,22,15,30,30,25,3,1,22,13,14,10,19,25,24,21,13,15,17,4,26
PHI-2006,38,44,2,15,22,24,82,5,7,12,10,22,24,12,3,5,15,5,4,7,19,17,21,18,4,14,13,4,8
PHI-2005,43,39,2,20,28,13,82,11,16,6,22,13,10,20,19,15,25,8,11,5,23,7,15,21,1,24,23,17,10
PHI-2004,33,49,5,11,29,8,82,7,28,27,23,23,24,17,21,19,25,14,15,16,20,21,24,23,16,23,22,8,28
PHI-2003,48,34,2,9,29,24,82,10,11,15,10,27,28,28,3,2,10,3,4,8,7,20,16,15,1,28,16,19,9
PHI-2002,43,39,4,6,24,24,82,27,28,25,22,29,29,29,9,6,22,5,8,4,5,10,4,28,5,24,25,7,26
PHI-2001,56,26,1,9,18,26,82,10,16,19,12,28,28,26,6,8,13,3,4,18,5,5,4,21,5,19,21,4,15
PHI-2000,49,33,3,19,23,26,82,7,18,14,23,29,29,26,4,3,24,12,4,26,2,17,7,17,2,18,18,16,23
PHI-1999,28,22,3,24,22,29,50,5,23,16,22,29,29,29,7,3,22,2,3,18,3,18,7,25,1,11,27,23,21
PHI-1998,31,51,7,26,17,18,82,24,26,19,20,28,24,28,15,11,20,5,3,18,7,20,12,20,9,5,23,20,21
PHI-1997,22,60,6,26,26,12,82,22,8,4,24,21,16,29,8,6,22,2,1,18,2,13,3,22,12,14,28,8,7
PHI-1996,18,64,7,26,21,14,82,24,27,22,26,15,10,24,27,24,26,10,10,19,11,27,25,27,17,12,25,7,26
PHI-1995,24,58,6,24,9,8,82,17,24,19,22,24,26,4,18,5,26,17,17,14,8,22,18,27,20,2,22,8,25
PHI-1994,25,57,6,14,18,17,82,6,23,17,20,8,7,13,24,23,19,20,19,22,25,14,22,23,23,3,20,1,22
PHI-1993,26,56,6,14,21,23,82,2,23,15,25,5,4,9,23,20,24,12,14,3,22,14,20,14,16,1,20,2,16
PHI-1992,35,47,5,9,21,13,82,25,25,27,15,10,9,12,24,26,14,9,9,9,25,23,25,24,16,10,8,3,20
PHI-1991,44,38,2,6,20,8,82,1,19,20,14,11,10,16,19,19,13,8,9,6,25,8,17,24,15,7,6,2,15
PHI-1990,53,29,1,11,23,4,82,14,11,17,7,14,14,7,13,16,9,5,7,6,15,14,15,22,16,18,4,2,7
PHI-1989,46,36,2,10,23,4,82,14,11,14,9,8,7,13,12,16,8,5,6,9,15,17,20,10,20,22,1,3,8
PHI-1988,36,46,4,9,19,5,82,1,21,22,15,7,8,9,23,22,14,1,1,13,9,18,14,20,15,10,17,7,16
PHI-1987,45,37,2,10,21,9,82,3,21,23,5,16,14,17,20,23,5,9,4,17,16,19,19,20,4,5,20,2,17
PHI-1986,54,28,2,4,23,10,82,2,19,20,12,16,15,17,18,18,10,2,1,13,1,15,5,18,1,6,21,4,11
PHI-1985,58,24,2,4,23,19,82,10,21,21,9,13,13,15,18,21,10,1,1,2,5,13,5,18,3,4,17,8,8
PHI-1984,52,30,2,3,23,20,82,3,19,22,10,18,22,6,18,20,14,3,2,14,9,12,10,19,5,1,23,7,16
